product_id,description
622694,""
3446225,"<h2>Шина 15,5 R38 Ф-2А Белшина</h2> <p>Приминение :Тракторы МТЗ-80, -82,&nbsp;Задние ведущие колёса трактора МТЗ-50/52, задние ведущие колёса трактора МТЗ-80/82, задние ведущие колёса трактора КИЗ-6А, задние ведущие колёса трактора ЮМЗ-6Л</p> <p>&nbsp;</p> <p>Размер Шины &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 15.5R38 &nbsp; &nbsp; &nbsp;&nbsp;<br /> Исполнение &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; TT - камерное<br /> Тип рисунка протектора &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; Повышенной проходимости<br /> Норма слойности &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 8<br /> Примечание &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; Тракторы МТЗ -80, -82, ЮМЗ-6L</p> <p>Обода рекомендуемые &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; W 14 L</p> <p>Наружный диаметр , мм &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 1570 &nbsp; &nbsp;<br /> Ширина профиля, мм &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 394</p> <p>Обода допускаемые &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; DW 14 L</p> <p>Максимальная допустимая нагрузка, индекс 133<br /> Максимальная допустимая нагрузка, кг 2060.0<br /> Внутреннее давление,<br /> кПа 180<br /> Максимальная скорость, индекс A6<br /> Максимальная скорость, км/ч 30</p> <p>http://mahnitskij.prom.ua/g790143-shiny-dlya-selhoztehniki</p>"
21252332,"<p>Товар высокого качества по ценам от производителя. Рост модели: 1.68м</p>

<p>&mdash; Мы предлагаем нашим клиентам, оптом и в розницу, большой ассортимент женских юбок и другой деловой одежды с 42 по 62 размер.<br />
-Коллекция одежды постоянно обновляется и расширяется с учетом последних тенденций моды.<br />
-Продукция охватывает большую аудиторию женщин разного возраста и комплекции.</p>
"
21652889,<p>оролрлорлорлор лолдодод</p>
21665429,"<p><strong>Бамбуковый чехол для iPhone 4/4S с птицей</strong>&nbsp;</p>

<p>Надежный и качественный защитный чехол из бамбука для айфон 4 с изображением птицы&nbsp;&mdash; символом скорых хороших новостей, достатка и благополучия. Такой бамбуковый кейс легко одевается на ваш iPhone 4/4S, отлично сидит на нем обеспечивая 100% защиту от разного рода повреждений. Что касается ассортимент чехлов для Айфон 5 и 5 с, то деревянные (бамбуковые) чехлы на смартфоны, но и пластиковые чехлы с разными рисунками. Наш интернет-магазин смартфонов и <a href=""http://i-bag.com.ua/g2026943-aksessuary-apple"">аксессуаров</a> для техники Эппл предлагает вам быструю доставку по всем городам Украины и городу Киев.</p>"
21665585,"<p><strong>Бамбуковый чехол для iPhone 4/4S с кельтским орнаментом</strong></p>

<p>Прочный защитный чехол для айфон 4 из натурального экологически чистого бамбука &mdash; это не просто красивый аксессуар,а гарантия сохранности вашего смартфона в хорошем состоянии.</p>

<p>У данной модели кейса из натурального бамбука хороший эргономичный дизайн. Все отверстия под камеры, качельки переключения громкости, наушники и зарядное устройство идеально вырезаны и не будут ограничивать функциональность вашего айфона. Уникальная услугу по <a href=""http://i-bag.com.ua/g2050439-gravirovka-bambukovyh-chehlah"">гравировке деревянных</a> чехлов предлагает наш интернет-магазин смартфонов и аксессуаров по очень недорогим ценам.</p>

<p>Такой чехол для iPhone 4/4S купить можно для себя или подарить коллеге или хорошему другу. Во втором случае можете быть уверены, такой стильный подарок точно не будет пылится на полке.</p>"
21665756,"<p><strong>Чехол для iPhone 4/4S Статуя Свободы&nbsp;</strong></p>

<p>Данная модель чехла для айфон 4 сделана из натурального дерева, а именно клена. Защитный кейс из такого материала очень прочный и долговечный. Он предотвращает попадание влаги и пыли на поверхность iPhone, что безусловно поможет продлить срок службы смартфона.&nbsp;</p>

<p>Такой деревянный кейс для айфон станет отличным подарком для людей которые любят Америку или хотят оставить что-то на память о месте в котором они когда то были и которое не могут забыть. Также в нашем интернет-магазине вы можете использовать <a href=""http://i-bag.com.ua/g2231178-pryamaya-pechat-chehlah"">услугу по печати</a> уникального изображения или логотипа по дешевым ценам, и заказать доставку по городу Киев и другим городам Украины.</p>"
21665947,"<p><strong>Бамбуковый чехол для iPhone 4/4S Цветок</strong></p>

<p>Защитный кейс для айфон с оригинальным дизайном. Чехол украшен очень красивым цветком и нетленными словами Боба Пие (Bob Pieh) о красоте, жестокости и конечно любви.</p>

<p>Но не только дизайном уникален данный чехол. Он выполнен из экологически чистого бамбука на севере Китая. Именно благодаря особым свойствам бамбука, такой чехол очень приятно держать в руке, он не выскальзывает и даже способен согревать ладонь в морозную погоду. Сам аксессуар для iPhone состоит из двух частей которые с легкостью одеваются на ваш смартфон Айфон 5 или 5с и отлично держатся на нем. А в дополнению к смартфону&nbsp;вы можете купить <a href=""http://i-bag.com.ua/g3454906-naushniki"">вакуумные наушники</a> в подарочной упаковке.</p>

<p>Порадуйте себя или близкого вам человека подарив ему этот уникальный по своему дизайну и функциональным характеристикам чехол для iPhone 4/4S из натурального бамбука.</p>"
21666081,"<p><strong>Бамбуковый чехол для iPhone 4/4S Грампластинка</strong></p>

<p>Стильный чехол для айфон 4/4с для настоящих меломанов. Неординарный дизайн в виде грампластинки не останется незамеченным вашими друзьями и коллегами. А качество кейса из натурального природного материала &mdash; бамбука, Вас приятно удивит!&nbsp;</p>

<p>Благодаря своим природным свойствам летом держа в руке такой чехол из бамбука не будет потеть ладонь, как это бывает бывает с другими чехлами, а зимой такой чехол даже способен согреть её! А для любителей Самсунг мы предлагаем вам купить <a href=""http://i-bag.com.ua/g2244552-chehly-dlya-samsung"">бамбуковый чехол</a> для гелекси 3 и заказать доставку по городу Киев и другим городам Украины.</p>

<p>Кейс &quot;для меломанов&quot; состоит из двух частей: верхней и нижней, которые соединяются специальной запатентованной системой. В нем Вы никогда не поцарапаете или повредите свой iPhone!&nbsp;</p>"
21666313,"<p><strong>Бамбуковый чехол для iPhone 4/4S с нотами</strong></p>

<p>Купить в Киеве или любом другом городе Украины стало намного проще благодаря интернет-магазина &quot;i-BAG&quot;. А это наша последняя новинка: экологически чистый защитный чехол для айфон 4/4с с нотами. Его музыкальный дизайн не оставит равнодушными никого: не ваших близких людей, коллег или просто прохожих.</p>

<p>Бамбуковые аксессуары для iPhone отличаются высокой прочностью, неординарным дизайном и природным теплом благородного материала. Китайские <a href=""http://i-bag.com.ua/g2562609-kitajskie-planshety"">дешевые планшеты</a> могут служить хорошим помошником как в работе, так и при просмотре фильмов дома.</p>

<p>Такой кейс сможет стать отличным оригинальным подарком шефу, коллеге или близкому человеку на Новый год, юбилей или День Рождение.</p>"
