id	name	url	category_id	cat_caption	description	desc_tokens	desc_tokens_rake
3446225	Шина 15,5 R38 (400R965)  Ф-2А Белшина	https://prom.ua/p3446225-product.html	801222	шины	шина 15,5 r38 ф-2а белшина приминение :тракторы мтз-80, -82, задние ведущие колёса трактора мтз-50/52, задние ведущие колёса трактора мтз-80/82, задние ведущие колёса трактора киз-6а, задние ведущие колёса трактора юмз-6л размер шины 15.5r38 исполнение tt - камерное тип рисунка протектора повышенной проходимости норма слойности 8 примечание тракторы мтз -80, -82, юмз-6l обода рекомендуемые 14 наружный диаметр , мм 1570 ширина профиля, мм 394 обода допускаемые dw 14 максимальная допустимая нагрузка, индекс 133 максимальная допустимая нагрузка, кг 2060.0 внутреннее давление, кпа 180 максимальная скорость, индекс a6 максимальная скорость, км/ч 30 http://mahnitskij.prom.ua/g790143-shiny-dlya-selhoztehniki	['задние ведущие колёса трактора', 'тракторы', 'задние ведущие колёса трактора киз-6а', 'рекомендуемые 14 наружный диаметр', 'камерное тип рисунка протектора', '14 максимальная допустимая нагрузка', '133 максимальная допустимая нагрузка', '2060.0 внутреннее давление', '180 максимальная скорость', '1570 ширина профиля', '15,5 r38 ф-2а', 'шины 15.5r38', 'повышенная проходимость', 'норма слойности', 'максимальная скорость', 'исполнение tt', 'индекс a6', 'допускаемые dw', '8 примечание', '394 обода', '30 http://mahnitskij.prom.ua/g790143-shiny-dlya-selhoztehniki', 'шина', 'размер', 'приминение', 'обод', 'км/ч', 'кг', 'индекс', 'белшина']	['камерное тип рисунка протектора повышенной проходимости норма слойности 8 примечание тракторы мтз -80', 'задние ведущие колёса трактора юмз-6л размер шины 15.5r38 исполнение tt', 'мм 394 обода допускаемые dw 14 максимальная допустимая нагрузка', 'шина 15,5 r38 ф-2а белшина приминение', 'юмз-6l обода рекомендуемые 14 наружный диаметр', 'задние ведущие колёса трактора мтз-80/82', 'задние ведущие колёса трактора киз-6а', 'задние ведущие колёса трактора мтз-50/52', 'индекс 133 максимальная допустимая нагрузка', 'индекс a6 максимальная скорость', 'кпа 180 максимальная скорость', 'мм 1570 ширина профиля', 'кг 2060.0 внутреннее давление', 'тракторы мтз-80', 'км/ч 30 http', '-82']
21252332	"Платье ""Cоло"" мол. — Модель 689м (замена кружева под фото)"	https://prom.ua/p21252332-product.html	35402	платья женские	товар высокого качества по ценам от производителя. рост модели: 1.68м — мы предлагаем нашим клиентам, оптом розницу, большой ассортимент женских юбок другой деловой одежды 42 по 62 размер. -коллекция одежды постоянно обновляется расширяется учетом последних тенденций моды. -продукция охватывает большую аудиторию женщин разного возраста комплекции.	['разный возраст комплекции', 'последние тенденции моды', 'другая деловая одежда', 'большая аудитория женщин', 'рост модели', 'наши клиенты', 'коллекция одежды', 'женские юбки', 'высокое качество', 'большая ассортимент', '62 размер', 'цены', 'учёт', 'товар', 'розница', 'производитель', 'продукция', '1.68м']	['-коллекция одежды постоянно обновляется расширяется учетом последних тенденций моды', '-продукция охватывает большую аудиторию женщин разного возраста комплекции', 'большой ассортимент женских юбок', 'деловой одежды 42', 'предлагаем нашим клиентам', 'товар высокого качества', 'рост модели', 'оптом розницу', '1.68м —', '62 размер', 'производителя', 'ценам']
21652889	Мелки цветные (10 цветов)	https://prom.ua/p21652889-product.html	35402	платья женские	оролрлорлорлор лолдодод	['оролрлорлорлор', 'лолдодод']	[]
21665429	Бамбуковый чехол для iPhone 4/4S с птицей 	https://prom.ua/p21665429-product.html	380230	чехлы для телефонов, mp3 плееров	бамбуковый чехол для iphone 4/4s птицей надежный качественный защитный чехол из бамбука для айфон 4 изображением птицы — символом скорых хороших новостей, достатка благополучия. такой бамбуковый кейс легко одевается на ваш iphone 4/4s, отлично сидит на нем обеспечивая 100% защиту от разного рода повреждений. что касается ассортимент чехлов для айфон 5 5 с, то деревянные (бамбуковые) чехлы на смартфоны, но пластиковые чехлы разными рисунками. наш интернет-магазин смартфонов аксессуаров для техники эппл предлагает вам быструю доставку по всем городам украины городу киев.	['айфон', 'наш интернет-магазин смартфонов аксессуаров', 'надёжный качественный защитный чехол', 'такая бамбуковый кейс', 'скорые хорошие новости', 'разный род повреждений', 'все города украины', 'ваш iphone 4/4s', 'разные рисунки', 'пластиковые чехлы', 'достаток благополучия', 'быстрая доставка', 'бамбуковый чехол', 'ассортимент чехлов', 'iphone 4/4s', '4 изображением', 'эппл', 'чехлы', 'техника', 'смартфоны', 'символ', 'птицы', 'птица', 'киев', 'защита', 'город', 'бамбук']	['айфон 4 изображением птицы — символом скорых хороших новостей', 'iphone 4/4s птицей надежный качественный защитный чехол', 'всем городам украины городу киев', 'наш интернет-магазин смартфонов аксессуаров', 'бамбуковый кейс легко одевается', 'пластиковые чехлы разными рисунками', 'ваш iphone 4/4s', 'касается ассортимент чехлов', 'техники эппл предлагает', 'разного рода повреждений', 'бамбуковый чехол', 'айфон 5 5', 'нем обеспечивая 100', 'отлично сидит', 'быструю доставку', 'достатка благополучия', 'чехлы', 'бамбука', 'смартфоны', 'деревянные', 'бамбуковые', 'защиту']
21665585	Бамбуковый чехол для iPhone 4/4S с кельтским орнаментом	https://prom.ua/p21665585-product.html	380230	чехлы для телефонов, mp3 плееров	бамбуковый чехол для iphone 4/4s кельтским орнаментом прочный защитный чехол для айфон 4 из натурального экологически чистого бамбука — это не просто красивый аксессуар,а гарантия сохранности вашего смартфона хорошем состоянии. данной модели кейса из натурального бамбука хороший эргономичный дизайн. все отверстия под камеры, качельки переключения громкости, наушники зарядное устройство идеально вырезаны не будут ограничивать функциональность вашего айфона. уникальная услугу по гравировке деревянных чехлов предлагает наш интернет-магазин смартфонов аксессуаров по очень недорогим ценам. такой чехол для iphone 4/4s купить можно для себя или подарить коллеге или хорошему другу. во втором случае можете быть уверены, такой стильный подарок точно не будет пылится на полке.	['iphone 4/4s', 'наш интернет-магазин смартфонов аксессуаров', 'хороший эргономичный дизайн', 'такая стильный подарок', 'прочный защитный чехол', 'качелька переключения громкости', 'данная модель кейса', 'чистое бамбук', 'хорошее состояние', 'хорошее друг', 'уникальная услуга', 'такая чехол', 'недорогой цены', 'натуральный бамбук', 'красивый аксессуар,', 'кельтский орнамент', 'зарядное устройство', 'деревянные чехлы', 'гарантия сохранности', 'второй случай', 'ваше смартфон', 'ваше айфон', 'бамбуковый чехол', 'функциональность', 'полка', 'отверстие', 'наушники', 'коллега', 'камера', 'гравировка', 'айфон']	['гравировке деревянных чехлов предлагает наш интернет-магазин смартфонов аксессуаров', 'iphone 4/4s кельтским орнаментом прочный защитный чехол', 'гарантия сохранности вашего смартфона хорошем состоянии', 'натурального экологически чистого бамбука — это', 'натурального бамбука хороший эргономичный дизайн', 'будут ограничивать функциональность вашего айфона', 'наушники зарядное устройство идеально вырезаны', 'iphone 4/4s купить', 'просто красивый аксессуар', 'данной модели кейса', 'очень недорогим ценам', 'качельки переключения громкости', 'втором случае можете', 'стильный подарок точно', 'бамбуковый чехол', 'уникальная услугу', 'хорошему другу', 'подарить коллеге', 'чехол', 'айфон 4', 'отверстия', 'пылится', 'уверены', 'камеры', 'полке']
21665756	Чехол для iPhone 4/4S Статуя Свободы 	https://prom.ua/p21665756-product.html	380230	чехлы для телефонов, mp3 плееров	чехол для iphone 4/4s статуя свободы данная модель чехла для айфон 4 сделана из натурального дерева, именно клена. защитный кейс из такого материала очень прочный долговечный. он предотвращает попадание влаги пыли на поверхность iphone, что безусловно поможет продлить срок службы смартфона. такой деревянный кейс для айфон станет отличным подарком для людей которые любят америку или хотят оставить что-то на память месте котором они когда то были которое не могут забыть. также нашем интернет-магазине вы можете использовать услугу по печати уникального изображения или логотипа по дешевым ценам, заказать доставку по городу киев другим городам украины.	['айфон', 'такая деревянный кейс', 'срок службы смартфона', 'попадание влаги пыли', 'другие города украины', 'данная модель чехла', 'уникальный изображение', 'такое материал', 'статуя свободы', 'поверхность iphone', 'отличный подарок', 'наш интернет-магазин', 'натуральный дерево', 'защитный кейс', 'дешёвый цены', 'iphone 4/4s', 'чехол', 'услуга', 'печать', 'память', 'место', 'люди', 'логотип', 'клён', 'киев', 'доставка', 'город', 'америка']	['iphone 4/4s статуя свободы данная модель чехла', 'безусловно поможет продлить срок службы смартфона', 'городу киев другим городам украины', 'такого материала очень прочный долговечный', 'людей которые любят америку', 'предотвращает попадание влаги пыли', 'айфон станет отличным подарком', 'можете использовать услугу', 'память месте котором', 'хотят оставить что-то', 'печати уникального изображения', 'также нашем интернет-магазине', 'айфон 4 сделана', 'поверхность iphone', 'именно клена', 'дешевым ценам', 'деревянный кейс', 'защитный кейс', 'заказать доставку', 'могут забыть', 'натурального дерева', 'которое', 'чехол', 'логотипа']
21665947	Бамбуковый чехол для iPhone 4/4S Цветок	https://prom.ua/p21665947-product.html	380230	чехлы для телефонов, mp3 плееров	бамбуковый чехол для iphone 4/4s цветок защитный кейс для айфон оригинальным дизайном. чехол украшен очень красивым цветком нетленными словами боба пие (bob pieh) красоте, жестокости конечно любви. но не только дизайном уникален данный чехол. он выполнен из экологически чистого бамбука на севере китая. именно благодаря особым свойствам бамбука, такой чехол очень приятно держать руке, он не выскальзывает даже способен согревать ладонь морозную погоду. сам аксессуар для iphone состоит из двух частей которые легкостью одеваются на ваш смартфон айфон 5 или 5с отлично держатся на нем. дополнению смартфону вы можете купить вакуумные наушники подарочной упаковке. порадуйте себя или близкого вам человека подарив ему этот уникальный по своему дизайну функциональным характеристикам чехол для iphone 4/4s из натурального бамбука.	['iphone 4/4s', 'чехол', 'дизайн', 'айфон', 'особый свойства бамбука', 'нетленные слова боба', 'чистое бамбук', 'функциональный характеристики', 'такая чехол', 'север китая', 'сам аксессуар', 'подарочная упаковка', 'оригинальный дизайн', 'натуральный бамбук', 'морозная погода', 'красивый цветок', 'защитный кейс', 'два частей', 'данный чехол', 'ваш смартфон', 'вакуумные наушники', 'бамбуковый чехол', 'bob pieh', 'человек', 'цветок', 'смартфон', 'рука', 'пий', 'лёгкость', 'любовь', 'ладонь', 'красота', 'жестокость', 'дополнение', 'iphone']	['чехол украшен очень красивым цветком нетленными словами боба пие', 'можете купить вакуумные наушники подарочной упаковке', 'чехол очень приятно держать руке', 'двух частей которые легкостью одеваются', 'своему дизайну функциональным характеристикам чехол', 'способен согревать ладонь морозную погоду', 'именно благодаря особым свойствам бамбука', 'iphone 4/4s цветок защитный кейс', 'дизайном уникален данный чехол', 'ваш смартфон айфон 5', 'айфон оригинальным дизайном', 'экологически чистого бамбука', '5с отлично держатся', 'бамбуковый чехол', 'iphone 4/4s', 'натурального бамбука', 'iphone состоит', 'севере китая', 'дополнению смартфону', 'человека подарив', 'bob pieh', 'аксессуар', 'порадуйте', 'уникальный', 'выполнен', 'жестокости', 'любви', 'выскальзывает', 'нем', 'близкого', 'красоте']
21666081	Бамбуковый чехол для iPhone 4/4S Грампластинка	https://prom.ua/p21666081-product.html	380230	чехлы для телефонов, mp3 плееров	"бамбуковый чехол для iphone 4/4s грампластинка стильный чехол для айфон 4/4с для настоящих меломанов. неординарный дизайн виде грампластинки не останется незамеченным вашими друзьями коллегами. качество кейса из натурального природного материала — бамбука, вас приятно удивит! благодаря своим природным свойствам летом держа руке такой чехол из бамбука не будет потеть ладонь, как это бывает бывает другими чехлами, зимой такой чехол даже способен согреть её! для любителей самсунг мы предлагаем вам купить бамбуковый чехол для гелекси 3 заказать доставку по городу киев другим городам украины. кейс ""для меломанов"" состоит из двух частей: верхней нижней, которые соединяются специальной запатентованной системой. нем вы никогда не поцарапаете или повредите свой iphone!"	['такая чехол', 'бамбуковый чехол', 'бамбук', 'специальная запатентованная система', 'незамеченный ваши друзья', 'натуральный природное материал', 'другие города украины', 'стильный чехол', 'природные свойства', 'неординарный дизайн', 'настоящие меломаны', 'качество кейса', 'другие чехлы', 'два частей', 'вид грампластинки', 'iphone 4/4s', 'самсунг', 'рука', 'меломаны', 'любители', 'лето', 'ладонь', 'коллеги', 'киев', 'кейс', 'доставка', 'грампластинка', 'город', 'гелекси', 'айфон', 'iphone', '4/4с']	"['благодаря своим природным свойствам летом держа руке', 'это бывает бывает другими чехлами', 'останется незамеченным вашими друзьями коллегами', 'городу киев другим городам украины', 'которые соединяются специальной запатентованной системой', 'натурального природного материала — бамбука', 'iphone 4/4s грампластинка стильный чехол', 'неординарный дизайн виде грампластинки', 'гелекси 3 заказать доставку', 'повредите свой iphone', 'способен согреть её', ""меломанов '' состоит"", 'купить бамбуковый чехол', 'бамбуковый чехол', 'настоящих меломанов', 'двух частей', 'любителей самсунг', 'кейс ``', 'верхней нижней', 'айфон 4/4с', 'потеть ладонь', 'качество кейса', 'приятно удивит', 'бамбука', 'чехол', 'зимой', 'поцарапаете', 'нем', 'предлагаем']"
21666313	Бамбуковый чехол для iPhone 4/4S с нотами	https://prom.ua/p21666313-product.html	380230	чехлы для телефонов, mp3 плееров	"бамбуковый чехол для iphone 4/4s нотами купить киеве или любом другом городе украины стало намного проще благодаря интернет-магазина ""i-bag"". это наша последняя новинка: экологически чистый защитный чехол для айфон 4/4с нотами. его музыкальный дизайн не оставит равнодушными никого: не ваших близких людей, коллег или просто прохожих. бамбуковые аксессуары для iphone отличаются высокой прочностью, неординарным дизайном природным теплом благородного материала. китайские дешевые планшеты могут служить хорошим помошником как работе, так при просмотре фильмов дома. такой кейс сможет стать отличным оригинальным подарком шефу, коллеге или близкому человеку на новый год, юбилей или день рождение."	['ноты', 'чистый защитный чехол', 'просмотр фильмов дома', 'отличный оригинальный подарок', 'наша последняя новинка', 'китайские дешёвые планшеты', 'ваши близкие люди', 'хороший помошник', 'такая кейс', 'природные тепло', 'новый год', 'неординарное дизайн', 'музыкальный дизайн', 'любой друг', 'город украины', 'высокая прочность', 'близкое человек', 'благородное материал', 'бамбуковый чехол', 'бамбуковые аксессуары', 'iphone 4/4s', 'юбилей', 'шеф', 'рождение', 'работа', 'коллеги', 'коллега', 'киев', 'интернет-магазин', 'день', 'айфон', 'iphone', 'i-bag', '4/4с']	"[""любом другом городе украины стало намного проще благодаря интернет-магазина `` i-bag ''"", 'кейс сможет стать отличным оригинальным подарком шефу', 'китайские дешевые планшеты могут служить хорошим помошником', 'неординарным дизайном природным теплом благородного материала', 'iphone 4/4s нотами купить киеве', 'iphone отличаются высокой прочностью', 'это наша последняя новинка', 'экологически чистый защитный чехол', 'айфон 4/4с нотами', 'ваших близких людей', 'просмотре фильмов дома', 'оставит равнодушными никого', 'бамбуковый чехол', 'новый год', 'день рождение', 'просто прохожих', 'музыкальный дизайн', 'бамбуковые аксессуары', 'близкому человеку', 'коллег', 'юбилей', 'коллеге', 'работе']"
21666436	Пластиковый чехол дерево для iPhone 4/4S	https://prom.ua/p21666436-product.html	380230	чехлы для телефонов, mp3 плееров	пластиковый чехол дерево для iphone 4/4s чехол для айфон 4/4с из качественного пластика изображением текстурой натурального дерева. защитные кейсы из пластика очень легкие простые эксплуатации. нанесенное сверху изображение текстурой дерева практически не царапается на ней не остается пятен. таком чехле ваш iphone будет под надежной защитой 24 часа сутки! будь-то пластиковый чехол на смартфон айфон 5 или 5с или бамбуковый чехол на планшет айпед только нашем интернет-магазине вы получите самые дешевые цены быструю доставку по всем города украины городу киев. не забывайте также про эксклюзивную услугу от нашего интернет-магазина: печать фотографий на чехлах для айфон!	['айфон', 'пластиковый чехол', 'изображение', 'самые дешёвые цены', 'все город украины', 'эксклюзивная услуга', 'текстура дерева', 'такой чехол', 'простые эксплуатация', 'печать фотографий', 'наше интернет-магазин', 'наш интернет-магазин', 'натуральный дерево', 'надёжная защита', 'качественное пластика', 'защитные кейсы', 'ваш iphone', 'быстрая доставка', 'бамбуковый чехол', 'iphone 4/4s', '24 часа', 'чехол', 'чехлы', 'текстура', 'сутки', 'смартфон', 'пятна', 'пластика', 'планшет', 'лёгкие', 'киев', 'дерево', 'город', 'айпед', '4/4с']	['нанесенное сверху изображение текстурой дерева практически', 'получите самые дешевые цены быструю доставку', 'качественного пластика изображением текстурой натурального дерева', 'пластика очень легкие простые эксплуатации', 'всем города украины городу киев', 'надежной защитой 24 часа сутки', 'таком чехле ваш iphone', 'iphone 4/4s чехол', 'будь-то пластиковый чехол', 'пластиковый чехол дерево', 'смартфон айфон 5', 'бамбуковый чехол', 'остается пятен', 'нашем интернет-магазине', 'забывайте также', 'печать фотографий', 'нашего интернет-магазина', 'защитные кейсы', 'планшет айпед', 'эксклюзивную услугу', 'айфон 4/4с', 'айфон', 'чехлах', 'царапается', '5с']
